proyecto,folioviv,foliohog,numren,numtrab,tipoact,cose_cria,prep_deriv,valproc,valrema,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,procampo,mesproc,progan,mesprogan,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,com_fis,reg_cont,reg_not,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
1,041003,0,03,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,39600,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,400,0,0,0,99.67,0,99.67
1,041006,0,01,Trabajo principal,Actividades agrícolas,Sí,,7000,0,No,,,,,2000,Agosto,,,2,2,0,2,2,0,0,,,0,,,Ninguno,No,No,9925,5820,0,13100,2473.11,1450.23,0,3264.26,659.08,0
1,041007,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,880,0,510,0,219.28,0,127.08,92.2,0
1,041012,0,01,Trabajo principal,Actividades agrícolas,Sí,,4500,4500,No,,,,,3480,Julio,,,0,,,,,,,,,,,,Ninguno,No,No,0,6640,0,1510,0,1654.56,0,376.26,1278.29,0
1,041014,0,01,Trabajo principal,Actividades agrícolas,Sí,,28000,2000,No,,,,,9000,Junio,,,0,,,,,,,,,,,,Ninguno,No,No,16000,10000,0,25400,3986.88,2491.8,0,6329.17,149.51,0
1,041016,0,01,Trabajo secundario,Actividades agrícolas,Sí,,900,0,No,,,,,1160,Julio,,,0,,,,,,,,,,,,Ninguno,No,No,0,900,0,765,0,224.26,0,190.62,33.64,0
1,041017,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,450,400,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,1680,0,180,0,418.62,0,44.85,373.77,0
1,041121,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,Sí,,4000,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,450,0,0,0,112.13,0,112.13
1,041122,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,Sí,,6000,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,600,0,0,0,149.51,0,149.51
1,041124,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,4000,Junio,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,750,0,0,0,186.89,0,186.89
1,041124,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,720,0,100,0,179.41,0,24.92,154.49,0
1,041125,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,0,1800,0,350,0,448.52,0,87.20999999999999,361.31,0
1,041131,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,Sí,6000,6000,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,700,0,0,0,174.43,0,174.43
1,041132,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,1500,120000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,28500,0,0,3000,7101.63,0,0,747.54,6354.09,0
1,041136,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,475,0,125,0,118.36,0,31.15,87.20999999999999,0
1,041143,0,01,Trabajo secundario,Actividades agrícolas,Sí,,5000,0,No,,,,,0,,,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,11380,1595,0,3740,2835.67,397.44,0,931.93,2301.18,0
1,041146,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,0,,,,,,,,,,,,,,Sí,0,0,0,12360,0,0,0,3079.86,0,3079.86
1,041146,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,3240,54,270,680,807.34,13.46,67.28,169.44,718.64,0
1,041161,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,Sí,,1000,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,73900,10600,0,6100,18414.4,2641.31,0,1520,19535.71,0
1,041161,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,30000,5000,No,,,,,0,,0,,1,0,1,0,,,1,0,1,0,,,Ninguno,No,No,6000,1800,0,2800,1495.08,448.52,0,697.7000000000001,1245.9,0
1,041165,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,4,3,1,0,,,4,3,1,0,,,Ninguno,No,No,17600,4400,0,18700,4385.57,1096.39,0,4659.67,822.29,0
1,041167,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,Sí,,1500,,,0,,0,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,70000,10000,0,32000,17442.6,2491.8,0,7973.76,11960.64,0
1,041167,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,Sí,10000,45000,No,,,,,0,,0,,4,0,4,0,,,4,0,4,0,,,Ninguno,No,No,28620,7030,0,10255,7131.53,1751.74,0,2555.34,6327.93,0
1,041168,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,10000,60000,No,,,,,0,,0,,2,1,1,0,,,2,1,1,0,,,Ninguno,No,No,32550,4000,0,3900,8110.81,996.72,0,971.8,8135.73,0
1,041169,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,8350,40000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,13500,2100,0,2840,3363.93,523.28,0,707.67,3179.54,0
1,041169,0,01,Trabajo secundario,Actividades agrícolas,Sí,,10000,0,No,,,,,0,,,,1,0,1,0,,,1,0,1,0,,,Ninguno,No,No,0,2280,0,1800,0,568.13,0,448.52,119.61,0
1,041171,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,3,1,2,0,,,3,1,2,0,,,Ninguno,No,No,90000,10500,0,28650,22426.2,2616.39,0,7139.01,17903.58,0
1,041172,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,125000,25000,0,14000,31147.5,6229.5,0,3488.52,33888.48,0
1,041172,0,01,Trabajo secundario,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,400,0,650,0,99.67,0,161.97,0,62.3
