geo_mun_s,cohort,eng_exp,hrs_exp
06010,1999,.2168425,.12225135
06010,2000,.31622779,.21650593
06010,2001,.44621086,.36350408
06010,2002,.496288,.48897821
07001,1997,0,0
07001,1998,0,0
07001,1999,0,0
07001,2000,0,0
07001,2001,0,0
07001,2002,0,0
07002,1997,0,0
07002,1998,0,0
07002,1999,0,0
07002,2000,0,0
07002,2001,0,0
07002,2002,0,0
07003,1997,0,0
07003,1998,0,0
07003,1999,0,0
07003,2000,0,0
07003,2001,0,0
07003,2002,0,0
07004,1997,0,0
07004,1998,0,0
07004,1999,0,0
07004,2000,0,0
07004,2001,0,0
07004,2002,0,0
07005,1997,0,0
07005,1998,0,0
07005,1999,0,0
07005,2000,0,0
07005,2001,0,0
07005,2002,0,0
07006,1997,0,0
07006,1998,0,0
07006,1999,0,0
07006,2000,0,0
07006,2001,0,0
07006,2002,0,0
07007,1997,0,0
07007,1998,0,0
07007,1999,0,0
07007,2000,0,0
07007,2001,0,0
07007,2002,0,0
07008,1997,0,0
07008,1998,0,0
07008,1999,0,0
07008,2000,0,0
07008,2001,0,0
07008,2002,0,0
07009,1997,.015423337,.020517467
07009,1998,.015267411,.019088009
07009,1999,.015473323,.018529801
07009,2000,.015826877,.018373944
07009,2001,.015677264,.018224329
07009,2002,.016636986,.020143773
07010,1997,0,0
07010,1998,0,0
07010,1999,0,0
07010,2000,0,0
07010,2001,0,0
07010,2002,0,0
07011,1997,0,0
07011,1998,0,0
07011,1999,0,0
07011,2000,0,0
07011,2001,0,0
07011,2002,0,0
07012,1997,0,0
07012,1998,0,0
07012,1999,0,0
07012,2000,0,0
07012,2001,0,0
07012,2002,0,0
07013,1997,.094834529,.094834529
07013,1998,.096045509,.096045509
07013,1999,.096170597,.096170597
07013,2000,.096080519,.096080519
07013,2001,.100724,.100724
07013,2002,.1039746,.087952361
07014,1997,0,0
07014,1998,0,0
07014,1999,0,0
07014,2000,0,0
07014,2001,0,0
07014,2002,0,0
07015,1997,.10177609,.077787772
07015,1998,.099408984,.062186979
07015,1999,.099431269,.053066932
07015,2000,.1026814,.04752611
07015,2001,.10672375,.031605318
07015,2002,.11603209,.019338682
07016,1997,0,0
07016,1998,0,0
07016,1999,0,0
07016,2000,0,0
07016,2001,0,0
07016,2002,0,0
07017,1997,.015701558,.015701558
07017,1998,.015409647,.015409647
07017,1999,.015161726,.015161726
07017,2000,.015494798,.013111442
07017,2001,.015586021,.013202665
07017,2002,.016203357,.013820001
07018,1997,0,0
07018,1998,0,0
07018,1999,0,0
07018,2000,0,0
07018,2001,0,0
07018,2002,0,0
07019,1997,.051214334,.093874693
07019,1998,.049037393,.092134036
07019,1999,.047467478,.090063378
07019,2000,.046825584,.090536892
07019,2001,.04634618,.091298416
07019,2002,.043798313,.091001749
07020,1997,0,0
07020,1998,0,0
07020,1999,0,0
07020,2000,0,0
07020,2001,0,0
07020,2002,0,0
07021,1997,0,0
07021,1998,0,0
07021,1999,0,0
07021,2000,0,0
07021,2001,0,0
07021,2002,0,0
07022,1997,0,0
07022,1998,0,0
07022,1999,0,0
07022,2000,0,0
07022,2001,0,0
07022,2002,0,0
07023,1997,0,0
07023,1998,0,0
07023,1999,0,0
07023,2000,0,0
07023,2001,0,0
07023,2002,0,0
07024,1997,0,0
07024,1998,0,0
07024,1999,0,0
07024,2000,0,0
07024,2001,0,0
07024,2002,0,0
07025,1997,0,0
07025,1998,0,0
07025,1999,0,0
07025,2000,0,0
07025,2001,0,0
07025,2002,0,0
07026,1997,0,0
07026,1998,0,0
07026,1999,0,0
07026,2000,0,0
07026,2001,0,0
07026,2002,0,0
07027,1997,.0050181909,.010036382
07027,1998,.0068188868,.013637774
07027,1999,.0078691551,.01573831
07027,2000,.018143758,.017674353
07027,2001,.019813845,.021014526
07027,2002,.021525288,.024437413
07028,1997,0,0
07028,1998,0,0
07028,1999,0,0
07028,2000,0,0
07028,2001,0,0
07028,2002,0,0
07029,1997,0,0
07029,1998,0,0
07029,1999,0,0
07029,2000,0,0
07029,2001,0,0
07029,2002,0,0
